centre,dress,height,mheight,fheight,bday_oddeven,birth_month,nlocs,statistics,programming,hobbies,bsds
Kolkata,White and Gold,160,150,165,Odd,October,4,"Yes, but not as a full subject","Yes, I am an excellent programmer",Mathematical Programming,Applications of data science in real world
Kolkata,White and Gold,181,,,Even,February,1,No,I have not done any programming before,I like cricket ,Only for math and computer science course 
Delhi,White and Gold,155,150,155,Even,February,1,"Yes, but not as a full subject","I have learned programming, but I am not very good at it",Learning new things ,I want to learn statistics 
Kolkata,Blue and Black,167,160,164,Even,March,2,"Yes, but not as a full subject","Yes, I have some programming experience",Playing outdoor sports,It promises a bright future ahead
Bangalore,Blue and Black,185,152,175,Even,February,3,No,"I have learned programming, but I am not very good at it","I love playing football , also loves swimming , and also likes to cook delicious food.","I am good in mathematics , so i preffered isi and also data science is a emerging course."
Bangalore,Blue and Black,173,156,167,Even,March,4,"Yes, but not as a full subject",I have not done any programming before,Cricket and football,"I was a maths and science student till my class 12th but I always had an excitment and was always an enthusiast of Data scinece and computing. I have decided to enrol here believing that ISI will give me the best of all my intrests and help me in developing my intrest in Data science 
Thank you"
Bangalore,White and Gold,176,,,Even,March,4,"Yes, but not as a full subject","I have learned programming, but I am not very good at it","3D rendering, SpeedCubing (Rubik's cube), Ftasy Novels, Video games, a number of sports.","I like Math and Computer science, the course seemed suitable for me after seeing the syllabus. I am sure I will enjoy this course."
Delhi,Blue and Black,173,173,155,Odd,December,1,"Yes, but not as a full subject","I have learned programming, but I am not very good at it","basketball, football ", I get to know about isi in 9 th on YouTube while searching for some math stuff and being a maths lover and growing demand of data science . Bsds becomes a perfect combination.
Bangalore,White and Gold,175,165,170,Even,December,1,"Yes, but not as a full subject",I have not done any programming before,,To evolve in coding 
Bangalore,Blue and Black,183,170,184,Odd,October,1,"Yes, but not as a full subject",I have not done any programming before,"Going to gym, photography, reading ",I liked the combination of statistics with data science and economics. 
Kolkata,White and Gold,178,155,175,Odd,October,1,"Yes, but not as a full subject","I have learned programming, but I am not very good at it","Reading novels, playing any kind of sport, listening music","I had always liked mathematics, but also had a keen interest on programming, that's why 
 I thought that this is the perfect course for me"
Kolkata,White and Gold,175,168,180,Even,March,1,"Yes, but not as a full subject","Yes, I have some programming experience","reading, chess, coding, learning, media consumption","Not only do I love programming and math, but also there is a great need in the country for people who have expertise in this domain."
Kolkata,White and Gold,165,160,170,Even,August,5,"Yes, but not as a full subject","Yes, I have some programming experience",I like football in sports and in free tume like to solve interesting logical quedtionsestions,I am deeply interested in the topics that where given in the syllabus of this coures as I like maths a lot .it's a growing field in the World of technology and seems to have good prospects in the future
Bangalore,White and Gold,190,160,170,Even,August,2,"Yes, but not as a full subject",I have not done any programming before,"Playing sports like cricket, football, badminton,chess etc ",I think it better than engineering so i thought to join myself here 
Delhi,Blue and Black,175,158,172,Odd,January,3,"Yes, but not as a full subject","I have learned programming, but I am not very good at it","cricket ,walking , photography","I basically love maths a lot, I felt to do something related to math instead of engineering, data science has a huge opportunity in various field, so I felt Data science would be the right choice to choose    "
Delhi,Blue and Black,168,155,176,Odd,January,1,"Yes, but not as a full subject","I have learned programming, but I am not very good at it",Listening music and learning stock market and listening  podcast related to spirituality and business.,I am pretty much interested in graph reading like in stock market and also interested in computers so that's the reason
Delhi,White and Gold,164,161,165,Odd,July,1,"Yes, but not as a full subject",I have not done any programming before,playing games and cycling,To learn maths and programming
Delhi,White and Gold,182,159,177,Even,June,3,"Yes, but not as a full subject","I have learned programming, but I am not very good at it",badminton and online games,I am interested in maths and also in programming 
Kolkata,Blue and Black,168,173,162,Even,August,2,"Yes, but not as a full subject","I have learned programming, but I am not very good at it","Currently no hobbies due to pressure on studies, but  have interest in singing, martial arts and playing guiter and want to do this through coming years ","Interest in both Math and CSE, and foresight in the growth in the value of this course in recent years "
Kolkata,Blue and Black,168,150,165,Even,June,4,No,I have not done any programming before,"Plying cricket, seeing cricket matches",To become an entrepreneur 
Delhi,Blue and Black,180,172,168,Even,November,3,"Yes, but not as a full subject","Yes, I have some programming experience","basketball, gym",because i am interested in statistics and programming.
Kolkata,White and Gold,170,,,Odd,January,3,"Yes, but not as a full subject","Yes, I have some programming experience",I like producing music in a daw(digital audio workstation) and like listening to music.,"The ISI brand value, my interest in mathematics and computer and increasing demands for data scientists in the industry made me choose this programme over a BTech in JU"
Delhi,White and Gold,172,170,155,Odd,March,4,"Yes, but not as a full subject","I have learned programming, but I am not very good at it","sketching , playing volleyball, TT",I find programming very interesting and had keen intrest in mathematics so i decided to join this programme 
